"time_idx","location","value","target"
"2020-04-04","05",0,"inc hosp"
"2020-04-04","04",0,"inc hosp"
"2020-04-04","06",0,"inc hosp"
"2020-04-04","08",0,"inc hosp"
"2020-04-04","09",0,"inc hosp"
"2020-04-04","11",0,"inc hosp"
"2020-04-04","10",0,"inc hosp"
"2020-04-04","12",0,"inc hosp"
"2020-04-04","13",0,"inc hosp"
"2020-04-04","15",0,"inc hosp"
"2020-04-04","19",0,"inc hosp"
"2020-04-04","16",0,"inc hosp"
"2020-04-04","17",0,"inc hosp"
"2020-04-04","18",0,"inc hosp"
"2020-04-04","20",0,"inc hosp"
"2020-04-04","21",0,"inc hosp"
"2020-04-04","22",0,"inc hosp"
"2020-04-04","25",0,"inc hosp"
"2020-04-04","24",0,"inc hosp"
"2020-04-04","23",0,"inc hosp"
"2020-04-04","26",0,"inc hosp"
"2020-04-04","27",0,"inc hosp"
"2020-04-04","29",0,"inc hosp"
"2020-04-04","28",0,"inc hosp"
"2020-04-04","30",0,"inc hosp"
"2020-04-04","37",0,"inc hosp"
"2020-04-04","38",0,"inc hosp"
"2020-04-04","31",0,"inc hosp"
"2020-04-04","33",0,"inc hosp"
"2020-04-04","34",0,"inc hosp"
"2020-04-04","35",0,"inc hosp"
"2020-04-04","32",0,"inc hosp"
"2020-04-04","36",0,"inc hosp"
"2020-04-04","39",0,"inc hosp"
"2020-04-04","40",0,"inc hosp"
"2020-04-04","41",0,"inc hosp"
"2020-04-04","42",0,"inc hosp"
"2020-04-04","72",0,"inc hosp"
"2020-04-04","44",0,"inc hosp"
"2020-04-04","45",0,"inc hosp"
"2020-04-04","46",0,"inc hosp"
"2020-04-04","47",0,"inc hosp"
"2020-04-04","48",0,"inc hosp"
"2020-04-04","49",0,"inc hosp"
"2020-04-04","51",0,"inc hosp"
"2020-04-04","50",0,"inc hosp"
"2020-04-04","53",0,"inc hosp"
"2020-04-04","55",0,"inc hosp"
"2020-04-04","54",0,"inc hosp"
"2020-04-04","56",0,"inc hosp"
"2020-04-11","02",0,"inc hosp"
"2020-04-11","01",0,"inc hosp"
"2020-04-11","05",0,"inc hosp"
"2020-04-11","04",0,"inc hosp"
"2020-04-11","06",0,"inc hosp"
"2020-04-11","08",0,"inc hosp"
"2020-04-11","09",0,"inc hosp"
"2020-04-11","11",0,"inc hosp"
"2020-04-11","10",0,"inc hosp"
"2020-04-11","12",0,"inc hosp"
"2020-04-11","13",0,"inc hosp"
"2020-04-11","15",0,"inc hosp"
"2020-04-11","19",0,"inc hosp"
"2020-04-11","16",0,"inc hosp"
"2020-04-11","17",0,"inc hosp"
"2020-04-11","18",0,"inc hosp"
"2020-04-11","20",0,"inc hosp"
"2020-04-11","21",0,"inc hosp"
"2020-04-11","22",0,"inc hosp"
"2020-04-11","25",0,"inc hosp"
"2020-04-11","24",0,"inc hosp"
"2020-04-11","23",0,"inc hosp"
"2020-04-11","26",0,"inc hosp"
"2020-04-11","27",0,"inc hosp"
"2020-04-11","29",0,"inc hosp"
"2020-04-11","28",0,"inc hosp"
"2020-04-11","30",0,"inc hosp"
"2020-04-11","37",0,"inc hosp"
"2020-04-11","38",0,"inc hosp"
"2020-04-11","31",0,"inc hosp"
"2020-04-11","33",0,"inc hosp"
"2020-04-11","34",0,"inc hosp"
"2020-04-11","35",0,"inc hosp"
"2020-04-11","32",0,"inc hosp"
"2020-04-11","36",0,"inc hosp"
"2020-04-11","39",0,"inc hosp"
"2020-04-11","40",0,"inc hosp"
"2020-04-11","41",0,"inc hosp"
"2020-04-11","42",0,"inc hosp"
"2020-04-11","72",117,"inc hosp"
"2020-04-11","44",0,"inc hosp"
"2020-04-11","45",0,"inc hosp"
"2020-04-11","46",0,"inc hosp"
"2020-04-11","47",0,"inc hosp"
"2020-04-11","48",0,"inc hosp"
"2020-04-11","49",0,"inc hosp"
"2020-04-11","51",0,"inc hosp"
"2020-04-11","78",0,"inc hosp"
"2020-04-11","50",0,"inc hosp"
"2020-04-11","53",0,"inc hosp"
"2020-04-11","55",0,"inc hosp"
"2020-04-11","54",0,"inc hosp"
"2020-04-11","56",0,"inc hosp"
"2020-04-18","02",0,"inc hosp"
"2020-04-18","01",0,"inc hosp"
"2020-04-18","05",0,"inc hosp"
"2020-04-18","04",0,"inc hosp"
"2020-04-18","06",0,"inc hosp"
"2020-04-18","08",0,"inc hosp"
"2020-04-18","09",0,"inc hosp"
"2020-04-18","11",0,"inc hosp"
"2020-04-18","10",0,"inc hosp"
"2020-04-18","12",0,"inc hosp"
"2020-04-18","13",0,"inc hosp"
"2020-04-18","15",0,"inc hosp"
"2020-04-18","19",0,"inc hosp"
"2020-04-18","16",0,"inc hosp"
"2020-04-18","17",0,"inc hosp"
"2020-04-18","18",0,"inc hosp"
"2020-04-18","20",0,"inc hosp"
"2020-04-18","21",0,"inc hosp"
"2020-04-18","22",0,"inc hosp"
"2020-04-18","25",0,"inc hosp"
"2020-04-18","24",0,"inc hosp"
"2020-04-18","23",0,"inc hosp"
"2020-04-18","26",0,"inc hosp"
"2020-04-18","27",0,"inc hosp"
"2020-04-18","29",0,"inc hosp"
"2020-04-18","28",0,"inc hosp"
"2020-04-18","30",0,"inc hosp"
"2020-04-18","37",0,"inc hosp"
"2020-04-18","38",0,"inc hosp"
"2020-04-18","31",0,"inc hosp"
"2020-04-18","33",0,"inc hosp"
"2020-04-18","34",0,"inc hosp"
"2020-04-18","35",0,"inc hosp"
"2020-04-18","32",0,"inc hosp"
"2020-04-18","36",1,"inc hosp"
"2020-04-18","39",0,"inc hosp"
"2020-04-18","40",0,"inc hosp"
"2020-04-18","41",0,"inc hosp"
"2020-04-18","42",0,"inc hosp"
"2020-04-18","72",78,"inc hosp"
"2020-04-18","44",0,"inc hosp"
"2020-04-18","45",0,"inc hosp"
"2020-04-18","46",0,"inc hosp"
"2020-04-18","47",0,"inc hosp"
"2020-04-18","48",0,"inc hosp"
"2020-04-18","49",0,"inc hosp"
"2020-04-18","51",0,"inc hosp"
"2020-04-18","78",0,"inc hosp"
"2020-04-18","50",0,"inc hosp"
"2020-04-18","53",0,"inc hosp"
"2020-04-18","55",0,"inc hosp"
"2020-04-18","54",0,"inc hosp"
"2020-04-18","56",0,"inc hosp"
"2020-04-25","02",0,"inc hosp"
"2020-04-25","01",0,"inc hosp"
"2020-04-25","05",0,"inc hosp"
"2020-04-25","04",0,"inc hosp"
"2020-04-25","06",0,"inc hosp"
"2020-04-25","08",0,"inc hosp"
"2020-04-25","09",0,"inc hosp"
"2020-04-25","11",0,"inc hosp"
"2020-04-25","10",0,"inc hosp"
"2020-04-25","12",0,"inc hosp"
"2020-04-25","13",0,"inc hosp"
"2020-04-25","15",0,"inc hosp"
"2020-04-25","19",0,"inc hosp"
"2020-04-25","16",0,"inc hosp"
"2020-04-25","17",0,"inc hosp"
"2020-04-25","18",0,"inc hosp"
"2020-04-25","20",0,"inc hosp"
"2020-04-25","21",0,"inc hosp"
"2020-04-25","22",0,"inc hosp"
"2020-04-25","25",0,"inc hosp"
"2020-04-25","24",0,"inc hosp"
"2020-04-25","23",0,"inc hosp"
"2020-04-25","26",0,"inc hosp"
"2020-04-25","27",0,"inc hosp"
"2020-04-25","29",0,"inc hosp"
"2020-04-25","28",0,"inc hosp"
"2020-04-25","30",0,"inc hosp"
"2020-04-25","37",0,"inc hosp"
"2020-04-25","38",0,"inc hosp"
"2020-04-25","31",0,"inc hosp"
"2020-04-25","33",0,"inc hosp"
"2020-04-25","34",0,"inc hosp"
"2020-04-25","35",0,"inc hosp"
"2020-04-25","32",0,"inc hosp"
"2020-04-25","36",0,"inc hosp"
"2020-04-25","39",0,"inc hosp"
"2020-04-25","40",0,"inc hosp"
"2020-04-25","41",0,"inc hosp"
"2020-04-25","42",0,"inc hosp"
"2020-04-25","72",0,"inc hosp"
"2020-04-25","44",0,"inc hosp"
"2020-04-25","45",0,"inc hosp"
"2020-04-25","46",0,"inc hosp"
"2020-04-25","47",0,"inc hosp"
"2020-04-25","48",0,"inc hosp"
"2020-04-25","49",0,"inc hosp"
"2020-04-25","51",0,"inc hosp"
"2020-04-25","78",0,"inc hosp"
"2020-04-25","50",0,"inc hosp"
"2020-04-25","53",0,"inc hosp"
"2020-04-25","55",0,"inc hosp"
"2020-04-25","54",0,"inc hosp"
"2020-04-25","56",0,"inc hosp"
"2020-05-02","02",0,"inc hosp"
"2020-05-02","01",0,"inc hosp"
"2020-05-02","05",0,"inc hosp"
"2020-05-02","04",0,"inc hosp"
"2020-05-02","06",0,"inc hosp"
"2020-05-02","08",0,"inc hosp"
"2020-05-02","09",0,"inc hosp"
"2020-05-02","11",0,"inc hosp"
"2020-05-02","10",0,"inc hosp"
"2020-05-02","12",0,"inc hosp"
"2020-05-02","13",0,"inc hosp"
"2020-05-02","15",0,"inc hosp"
"2020-05-02","19",0,"inc hosp"
"2020-05-02","16",0,"inc hosp"
"2020-05-02","17",0,"inc hosp"
"2020-05-02","18",0,"inc hosp"
"2020-05-02","20",0,"inc hosp"
"2020-05-02","21",0,"inc hosp"
"2020-05-02","22",0,"inc hosp"
"2020-05-02","25",0,"inc hosp"
"2020-05-02","24",0,"inc hosp"
"2020-05-02","23",0,"inc hosp"
"2020-05-02","26",0,"inc hosp"
"2020-05-02","27",0,"inc hosp"
"2020-05-02","29",0,"inc hosp"
"2020-05-02","28",0,"inc hosp"
"2020-05-02","30",0,"inc hosp"
"2020-05-02","37",0,"inc hosp"
"2020-05-02","38",0,"inc hosp"
"2020-05-02","31",0,"inc hosp"
"2020-05-02","33",0,"inc hosp"
"2020-05-02","34",0,"inc hosp"
"2020-05-02","35",0,"inc hosp"
"2020-05-02","32",0,"inc hosp"
"2020-05-02","36",1,"inc hosp"
"2020-05-02","39",0,"inc hosp"
"2020-05-02","40",0,"inc hosp"
"2020-05-02","41",0,"inc hosp"
"2020-05-02","42",0,"inc hosp"
"2020-05-02","72",0,"inc hosp"
"2020-05-02","44",0,"inc hosp"
"2020-05-02","45",0,"inc hosp"
"2020-05-02","46",0,"inc hosp"
"2020-05-02","47",0,"inc hosp"
"2020-05-02","48",0,"inc hosp"
"2020-05-02","49",0,"inc hosp"
"2020-05-02","51",0,"inc hosp"
"2020-05-02","78",0,"inc hosp"
"2020-05-02","50",0,"inc hosp"
"2020-05-02","53",0,"inc hosp"
"2020-05-02","55",0,"inc hosp"
"2020-05-02","54",0,"inc hosp"
"2020-05-02","56",0,"inc hosp"
"2020-05-09","02",0,"inc hosp"
"2020-05-09","01",0,"inc hosp"
"2020-05-09","05",0,"inc hosp"
"2020-05-09","04",0,"inc hosp"
"2020-05-09","06",0,"inc hosp"
"2020-05-09","08",0,"inc hosp"
"2020-05-09","09",0,"inc hosp"
"2020-05-09","11",0,"inc hosp"
"2020-05-09","10",0,"inc hosp"
"2020-05-09","12",0,"inc hosp"
"2020-05-09","13",0,"inc hosp"
"2020-05-09","15",0,"inc hosp"
"2020-05-09","19",0,"inc hosp"
"2020-05-09","16",0,"inc hosp"
"2020-05-09","17",0,"inc hosp"
"2020-05-09","18",0,"inc hosp"
"2020-05-09","20",0,"inc hosp"
"2020-05-09","21",0,"inc hosp"
"2020-05-09","22",0,"inc hosp"
"2020-05-09","25",0,"inc hosp"
"2020-05-09","24",0,"inc hosp"
"2020-05-09","23",0,"inc hosp"
"2020-05-09","26",0,"inc hosp"
"2020-05-09","27",0,"inc hosp"
"2020-05-09","29",0,"inc hosp"
"2020-05-09","28",0,"inc hosp"
"2020-05-09","30",0,"inc hosp"
"2020-05-09","37",0,"inc hosp"
"2020-05-09","38",0,"inc hosp"
"2020-05-09","31",0,"inc hosp"
"2020-05-09","33",0,"inc hosp"
